ID,Score Question 1,Score Question 2,Score Question 3,Score Question 4,Score Question 5,Score Question 6,Score Question 7,Score Question 8,Score Question 9,Score Question 10,Score Question 11,Score Question 12,Score Question 13,Score Question 14,Score Question 15,Score Question 16,Score Question 17,Score Question 18,Score Question 19,Score Question 20,Score Question 21,Score Question 22,Score Question 23,Score Question 24,Score Question 25,Score Question 26,Score Question 27,Score Question 28,Score Question 29,Score Question 30,Score Question 31,Score Question 32,Score Question 33,Score Question 34,Score Question 35,Score Question 36,Score Question 37,Score Question 38,Score Question 39,Score Question 40,Score Question 41,Score Question 42,Score Question 43,Score Question 44,Score Question 45,Score Question 46,Score Question 47,Score Question 48,Score Question 49
Student 0021,1,2.5,1,2.0,2.3,4.9,4.9,1.7,1,1,1,1.4,1,4.8,1,3.4,2.1,1.7,0.9,1.6,2.1,3,2.4,1,2.3,1,1.6,1.4,4.4,1,1.8,1,2.5,2.4,4.9,2.2,1,2.7,4.7,1,2.7,4.3,2.2,1.9,3,4.3,1,1.8,1
Student 0022,0,1.8,1,0.9,1.5,3.1,1.9,1.0,0,1,1,1.5,0,2.5,0,3.2,2.9,1.1,1.5,0.9,2.3,2.2,1.2,0,2.0,0,0.9,0.9,3.0,0,1.0,0,2.1,1.2,5,1.8,1,1.5,3.4,0,1.6,3.2,2.0,1.5,1.7,2.7,1,1.0,1
Student 0023,1,2.6,1,1.8,3,4.8,4.1,2,1,1,1,2.0,1,3.5,1,5.0,3,1.5,2.2,1.5,2.2,3,2.5,1,2.1,1,1.7,1.6,4.0,1,1.8,1,2.8,2.3,3.9,2.5,1,2.5,4.1,1,2.4,4.0,2.2,1.7,2.7,2.6,1,1.5,1
Student 0024,1,3,1,2,3,5,4.7,1.7,1,1,1,2,1,5,1,5,3,2,3,1.7,3,2.8,3,1,2.7,1,1.8,1.7,3.9,1,1.7,1,2.9,2.4,5,3,1,3,4.3,1,2.5,4.3,2.5,2,3,5,1,2,1
Student 0025,1,1.7,1,1.8,2.2,2.8,4.2,1.6,1,1,1,1.4,1,3.3,1,3.7,2.5,1.6,1.7,1.4,2.5,2.6,2.7,1,1.9,1,1.1,1.1,3.7,1,1.1,1,2.4,1.6,2.7,1.8,1,2.2,2.9,1,1.7,4.5,1.8,1.6,2.7,3.6,1,1.4,1
Student 0026,1,2.6,1,1.8,2.6,3.9,3.1,1.7,1,1,1,1.7,1,3.1,1,3.0,2.2,1.8,2.3,1.2,2.3,1.8,2.6,1,2.3,1,1.3,1.5,2.8,1,1.7,1,2.3,2.0,3.6,2.8,1,2.0,3.5,1,2.6,3.0,2.7,0.0,2.2,3.0,1,1.2,1
Student 0027,1,2.6,1,1.8,2.4,3.2,2.9,1.7,1,1,1,1.7,1,3.2,1,3.2,1.9,1.8,1.9,1.3,2.0,2.3,2.9,1,2.6,1,1.7,1.2,3.0,1,2,1,2.4,3,2.9,1.9,1,2.8,3.0,1,2.0,4.1,2.1,1.3,2.8,4.7,1,1.9,1
Student 0028,1,3.0,1,1.4,2.0,4.3,4.7,1.3,1,1,1,1.6,1,4.4,1,3.9,2.2,1.4,2.3,1.6,2.3,2.3,2.0,1,2.8,1,1.9,2,3.3,1,2.0,1,2.0,2.8,5.0,2.5,1,2.1,4.8,1,2.2,4.5,2.0,1.6,2.4,4.4,1,1.6,1
Student 0029,1,1.7,1,1.9,1.9,3.5,3.1,1.4,1,1,1,1.2,1,3.1,1,4.5,2.4,1.9,2.0,1.6,2.7,1.9,1.9,1,2.6,1,1.3,1.8,4.3,1,1.2,1,2.0,2.7,3.9,2.5,1,2.3,4.6,1,2.2,3.6,2.0,0.0,2.1,3.2,1,1.5,1
Student 0030,1,3.0,1,1.4,2.9,4.8,4.9,1.5,0,1,1,1.5,1,4.6,1,4.4,2.4,1.3,2.3,1.3,2.6,2.3,2.4,1,1.9,1,0.3,1.4,4.2,1,1.9,1,2.3,2.9,4.1,1.9,1,2.6,3.7,1,2.9,3.7,2.9,2.0,2.4,3.2,1,1.5,1
Student 0031,1,2.5,1,2,2.5,4.3,4.1,1.4,1,1,1,2,1,3.8,1,4.6,2.7,1.1,2.8,1.6,3,2.9,2.7,1,2.1,1,1.9,1.8,4.8,1,2.0,1,2.3,2.1,4.4,3,1,3,5,1,2.8,4.0,2.3,1.8,2.2,4.9,1,2,1
Student 0032,1,2.5,1,2,2.5,4.9,3.9,2,1,1,1,2,1,5,1,5,3,1.7,3,2.0,3,3,3.0,1,2.7,1,1.9,2,4.1,1,2,1,2.8,3,4.0,3,1,2.3,4.7,1,2.4,5,2.5,2,2.3,5,1,2,1
Student 0033,1,1.2,0,2,3,1.3,2.7,2,0,0,0,1.2,0,1.6,0,2.5,1.1,1.1,1.3,1.2,1.6,1.2,1.0,1,0.6,0,0.6,0.8,1.2,0,0.5,0,0.8,0.9,2.6,1.0,1,1.5,1.0,0,0.8,1.9,1.5,0.4,1.0,2.4,0,0.9,0
Student 0034,1,2.3,0,1.0,1.3,2.2,2.7,1.2,1,0,1,0.9,0,3.3,1,3.1,2.1,1.5,1.9,1.5,2.3,2.2,1.8,1,2.5,1,1.0,1.3,2.5,0,1.0,0,0.0,1.4,2.7,1.9,1,1.6,4.0,1,1.6,3.9,1.4,1.2,1.5,3.4,0,1.3,1
Student 0035,1,2.5,1,1.4,2.3,4.3,3.9,1.9,1,1,1,1.9,1,4.5,1,3.7,2.5,1.6,2.4,1.9,2.1,2.7,2.7,1,2.1,1,1.5,1.4,4.5,1,2,1,2.0,2.3,4.1,2.4,1,2.9,4.3,1,2.6,4.8,2.3,1.9,2.8,3.4,1,1.4,1
Student 0036,0,1.2,0,0.4,1.3,0.5,0.8,2,0,0,0,0.7,0,0.5,0,1.1,1.1,0.4,0.8,0.8,0.3,1.0,1.0,0,0.2,0,0.9,0.8,0.3,0,0.3,0,1.0,0.6,1.4,1.1,0,1.2,1.2,0,1.0,1.3,3,0.4,0.8,1.3,0,0.6,0
Student 0037,1,2.7,1,1.5,2.4,3.4,3.9,1.9,1,1,1,2.0,1,5.0,1,4.4,2.5,1.7,2.8,1.7,2.1,2.4,2.1,1,2.9,1,1.7,1.5,4.9,1,1.8,1,2.1,1.9,4.3,2.4,1,0.0,3.6,1,2.3,3.8,1.9,1.9,2.5,5,1,1.8,1
Student 0038,1,3,1,2,3,5,5,2,1,1,1,1.8,1,5,1,5,2.5,2,3,2,2.9,3,3,1,3,1,1.8,1.9,4.1,1,2,1,3,3,5,3.0,1,2.9,4.3,1,3,5,3,1.8,3,5,1,1.7,1
Student 0039,0,1.2,0,0.4,1.2,0.9,2.3,0.8,0,0,0,0.3,0,2.2,0,1.0,1.5,0.8,1.6,0.7,0.8,1.5,1.1,0,1.0,0,1.1,0.5,1.7,0,0.5,0,0.9,3,2.2,1.4,0,0.4,2.6,0,0.9,1.3,0.8,1.0,1.5,1.5,0,0.4,0
Student 0040,1,1.9,1,1.4,2.4,2.9,4.0,1.3,1,1,1,1.8,1,4.5,1,0.4,2.2,1.9,1.9,1.8,2.1,2.0,2.1,1,2.0,1,1.5,1.4,3.5,1,1.9,1,2.8,2.6,3.6,2.5,1,2.7,4.0,1,2.4,3.8,2.6,1.3,2.2,4.1,1,1.5,1
Student 0041,1,2.2,1,1.5,2.1,3.4,4.2,1.9,1,1,1,1.8,1,2.9,1,3.9,2.3,1.8,1.9,1.4,0.1,1.9,1.7,1,1.9,1,1.5,1.5,4.6,1,1.3,1,2.6,2.0,3.7,2.8,1,2.3,2.7,1,1.7,4.1,1.8,1.2,1.7,4.1,1,1.4,1
Student 0042,1,2.0,1,1.6,2.0,4.6,2.9,1.4,1,1,1,1.5,1,3.3,1,4.2,2.2,1.7,2.3,1.6,0.0,2.1,1.6,1,0.0,1,1.4,1.8,4.4,1,1.4,1,2.2,2.0,4.4,2.7,1,2.7,3.1,1,2.3,4.2,1.7,1.6,2.4,1.0,1,1.3,1
Student 0043,1,2.5,1,2,3,5,4.8,2,1,1,1,2,1,5,1,4.3,3,1.8,3,2,3,2.7,3,1,3,1,2,2,5,1,2,1,2.3,3,5,3.0,1,2.7,5,1,3,4.8,3,2,3,4.2,1,2,1
Student 0044,0,1.4,1,0.8,1.7,2.3,3.6,0.0,1,1,1,1.1,1,3.6,1,3.0,2.1,0.8,1.5,1.2,1.1,1.4,1.2,1,1.4,1,1.5,0.7,3.4,0,1.3,1,2.2,2.2,2.4,1.8,1,2.3,0.8,0,2.2,2.5,1.2,1.0,0.0,3.7,1,1.0,0
Student 0045,0,1.2,0,0.5,0.3,5,1.0,0.3,0,1,0,0.8,0,0.7,0,2.3,1.1,0.4,0.4,0.7,1.2,0.2,0.9,0,0.8,1,0.4,0.7,0.6,0,0.6,0,1.3,1.1,0.2,0.4,0,1.3,1.6,0,1.1,0.5,1.3,0.5,1.2,0.9,0,0.6,0
Student 0046,1,2.6,1,2.0,3,5,3.5,1.4,1,1,1,0.0,1,4.4,1,3.5,2.5,1.5,2.9,1.7,2.8,3,2.6,1,2.6,1,1.7,1.4,4.8,1,1.4,1,2.3,2.1,5,2.3,1,3.0,5,1,3,3.5,3,1.7,2.4,5,1,1.9,1
Student 0047,1,3,1,1.6,2.9,4.2,5,2,1,1,1,1.5,1,5,1,5.0,3,1.8,2.7,1.6,2.2,3,2.6,1,3,1,1.6,1.6,5,1,2,1,3,2.7,4.7,2.3,1,2.7,5,1,2.3,5,2.9,1.6,3,5,1,2,1
Student 0048,1,2.8,1,1.2,2.7,3.0,3.4,1.1,1,1,1,1.2,1,3.0,1,3.3,1.8,1.3,2.8,1.7,1.8,1.6,2.6,1,1.9,1,0.6,1.7,3.8,1,1.8,1,2.8,2.6,3.4,1.7,1,2.1,4.7,1,1.7,2.9,1.8,1.5,2.5,3.8,1,1.1,1
Student 0049,1,2.8,0,1.2,0.0,4.2,2.6,1.8,1,1,1,1.5,1,4.4,1,3.9,2.2,1.5,1.8,1.7,2.3,1.9,2.7,1,2.8,1,1.9,1.3,3.9,1,1.8,1,2.2,1.7,3.2,2.3,0,2.3,2.9,1,2.0,2.7,2.7,1.6,2.3,4.6,1,0.0,1
Student 0050,0,1.2,0,1.0,1.7,2.1,3.7,1.0,1,1,0,0.8,1,3.5,0,2.3,1.6,1.0,2.3,1.3,1.2,1.2,1.2,1,1.6,1,0.8,1.5,3.3,1,1.3,1,1.5,1.4,3.0,2.3,1,1.2,2.1,1,2.0,2.2,1.5,1.0,1.8,4.0,1,1.3,0
Student 0051,1,1.8,1,1.1,2.4,3.0,3.2,1.3,1,1,1,1.3,1,2.7,1,3.4,2.7,0.0,2.6,1.5,2.7,1.5,2.0,1,2.1,1,1.4,1.5,3.9,1,1.3,1,2.7,1.7,2.7,2.6,1,1.7,4.3,1,2.0,3.4,2.4,1.5,1.6,4.2,1,1.8,1
Student 0052,1,2.7,1,2,3,5,5,1.8,1,1,1,2.0,1,5,1,5,2.6,2,2.8,1.6,2.4,3,3,1,2.7,1,2,2,5,1,2,1,2.7,2.8,4.1,2.7,1,2.7,5,1,2.4,4.4,2.7,1.8,3,5,1,2,1
Student 0053,0,1.2,0,0.8,1.4,1.6,3.1,0.9,1,1,0,1.2,1,1.9,1,2.0,1.7,0.7,1.8,1.0,1.8,0.9,1.8,0,1.3,0,1.3,1.0,2.9,0,0.6,0,1.5,0.8,1.3,1.0,0,0.9,2.2,0,1.2,2.5,1.7,1.2,1.6,2.7,1,0.8,0
Student 0054,0,1.7,0,1.1,1.4,1.5,1.1,0.7,0,0,1,2,0,2.0,0,2.8,0.7,0.7,0.8,0.6,0.9,1.6,0.9,1,0.9,1,2,1.1,2.3,0,1.0,0,1.5,1.1,3.0,1.5,0,1.7,1.1,0,1.0,2.2,1.6,2,0.9,1.3,0,1.0,0
Student 0055,1,2.2,1,1.5,1.8,4.0,5.0,1.3,1,1,1,1.8,1,4.1,1,4.5,2.4,1.9,2.9,1.3,2.2,2.4,2.6,1,2.3,1,1.3,1.9,4.1,1,1.7,1,1.9,2.3,3.6,2.6,1,3,3.1,1,2.0,3.8,2.5,1.3,2.2,3.3,1,1.3,1
Student 0056,1,2.9,1,2,3,5,5,2,1,1,1,2,1,4.5,1,4.8,3,1.9,2.6,1.7,3,3,2.6,1,3,1,2,2,3.9,1,2,1,3,3,4.8,3,1,2.5,4.1,1,3,4.9,2.3,2,2.4,5,1,1.9,1
Student 0057,1,2.2,1,1.8,2.9,4.7,4.7,1.5,1,1,1,1.9,1,4.4,1,4.6,3,1.3,2.2,1.7,2.4,2.4,2.3,1,2.8,1,1.9,2,4.8,1,1.6,1,2.9,2.6,4.1,3.0,1,2.3,5,1,3,4.6,3,2,2.3,5,1,1.7,1
Student 0058,1,2.8,1,1.4,0.2,3.4,4.5,1.5,1,1,1,2.0,1,5,1,4.2,3,1.5,2.2,1.8,3,3,2.9,1,2.4,1,1.8,1.6,3.3,1,1.6,1,2.5,2.4,5.0,2.3,1,2.0,5,1,2.4,3.2,2.2,1.9,2.6,5,1,1.4,1
Student 0059,1,1.6,1,0.0,2.7,4.0,3.5,1.1,1,1,1,1.2,1,3.7,1,4.4,1.8,1.6,2.6,1.1,1.6,1.9,1.6,1,2.4,1,1.2,1.8,3.2,1,1.2,1,2.1,0.0,3.7,2.1,1,1.7,3.6,1,2.5,4.1,1.8,1.6,1.7,4.0,1,1.3,1
Student 0060,1,2.8,1,2,3,5,5,1.7,1,1,1,2,1,5,1,4.0,2.4,2,3,2,2.4,3,2.6,1,3,1,1.6,1.7,4.0,1,2,1,3,3,4.3,3,1,3,4.0,1,2.6,4.3,2.9,1.6,3.0,5,1,2,1
Student 0061,1,2.5,1,1.6,2.6,3.6,2.9,1.6,1,1,1,1.8,1,3.4,1,4.1,2.4,1.8,2.3,1.4,2.8,2.1,1.8,1,1.8,1,1.3,1.5,3.6,1,1.4,1,2.4,2.4,3.7,2.7,1,2.4,2.9,1,2.8,4.1,2.1,1.2,2.2,3.4,1,1.2,1
Student 0062,1,3,1,2,2.8,5,4.3,2.0,1,1,1,1.6,1,5,1,4.9,2.5,1.7,2.9,1.9,2.7,2.8,2.7,1,2.4,1,1.9,1.9,4.1,1,2,1,2.5,2.6,5,2.7,1,2.2,5,1,3,5,2.4,2,2.3,3.8,1,1.6,1
Student 0063,1,1.9,1,1.6,1.8,3.6,4.1,1.7,1,1,1,1.2,1,3.7,1,3.7,2.3,1.2,1.8,1.6,1.4,2.3,1.5,1,1.8,1,1.5,1.3,2.4,1,1.1,0,1.7,1.6,0.0,2.1,1,1.8,3.7,1,2.4,0.1,1.4,1.0,1.5,3.7,1,1.4,0
Student 0064,0,0.5,0,0.3,1.3,0.6,0.5,0.3,0,0,0,0.0,0,1.9,0,1.2,1.3,0.4,0.7,0.6,0.3,1.2,0.3,0,1.3,0,0.8,0.0,1.9,0,0.6,0,1.0,1.1,1.7,1.1,0,0.6,0.8,0,1.1,1.7,1.0,0.7,1.0,1.8,0,0.2,0
Student 0065,1,2.1,1,2,2.9,4.2,4.2,1.4,1,1,1,1.5,1,3.5,1,3.3,3,1.9,2.9,0.0,3,2.9,3,1,3.0,1,1.7,1.4,3.7,1,1.9,1,3.0,2.8,4.5,2.8,1,2.9,3.8,1,2.4,4.0,2.3,1.7,2.0,4.8,1,1.5,0
Student 0066,1,2.5,1,1.7,2.2,4.1,4.9,1.8,1,1,1,1.2,1,3.5,1,4.4,2.0,1.6,2.6,1.7,2.2,2.3,2.8,1,2.1,1,1.4,1.5,4.8,1,1.8,1,3.0,2.8,0.0,2.4,1,2.6,4.9,1,2.6,2.6,2.0,1.5,2.1,4.7,1,1.9,1
Student 0067,1,2.2,1,2.0,2.5,5.0,3.5,2.0,1,1,1,1.4,1,3.5,1,4.8,3,1.3,0.0,1.7,3,1.9,2.7,1,2.4,1,1.5,1.6,3.9,1,1.4,1,2.9,2.1,4.0,2.3,1,2.2,4.5,1,2.4,5,2.8,1.1,1.9,3.3,1,1.9,1
Student 0068,1,1.4,1,1.5,1.2,2.0,2.8,1.6,1,1,1,1.1,1,2.5,0,3.0,2.1,1.0,1.5,0.9,1.6,1.8,1.3,1,1.8,0,0.8,1.1,3.5,1,1.5,0,1.8,1.7,2.1,1.3,1,2.1,2.7,1,2.2,3.8,1.4,1.2,2.4,3.7,1,1.3,0
Student 0069,1,2.1,1,2,2.6,5,5,1.6,1,1,1,1.6,1,4.0,1,3.9,2.7,1.5,2.6,1.5,2.5,3,2.3,1,3,1,2,1.9,3.7,1,1.8,1,3.0,2.8,5,2.9,1,2.4,3.6,1,3,3.5,3.0,2,2.4,3.6,1,1.4,1
Student 0070,0,1.2,0,1.0,1.5,2.2,3.6,1.4,1,0,1,1.5,1,2.0,1,2.4,2.0,1.5,1.5,1.2,2.0,2.2,2.2,1,2.2,1,1.4,1.5,3.1,1,1.5,0,2.2,1.7,2.0,1.3,1,1.5,2.4,0,1.5,2.1,1.6,1.5,1.2,3.7,1,0.9,0
Student 0071,0,1.7,0,0.7,1.3,2.3,2.3,0.8,0,0,0,1.0,0,2.9,0,2.6,1.1,1.1,0.7,0.9,1.5,1.0,1.2,0,1.5,1,0.8,0.6,2.4,0,0.9,0,1.6,0.9,1.2,1.4,0,1.4,2.2,0,1.5,1.2,1.8,0.8,1.7,1.2,0,0.7,1
Student 0072,1,2.7,1,1.8,2.1,4.2,4.2,2.0,1,1,1,1.6,1,3.5,1,3.5,2.8,1.4,2.9,1.3,2.5,2.5,2.2,1,2.4,1,1.9,1.3,4.2,1,1.6,1,2.6,2.0,4.6,2.6,1,2.0,3.5,1,2.1,5,2.2,1.9,2.1,4.0,1,1.6,1
Student 0073,1,2.1,1,1.2,2.6,3.2,2.7,1.2,1,1,1,1.7,1,3.2,1,3.6,0.3,1.4,1.9,1.4,1.6,2.2,2.7,1,1.7,1,1.3,1.4,3.0,1,1.2,1,2.3,2.7,2.7,1.9,1,2.7,3.6,1,2.2,4.4,1.9,1.4,2.3,3.6,1,1.3,1
Student 0074,1,1.9,1,1.4,2.1,3.9,4.0,1.4,1,0,0,1.4,1,4.0,1,3.5,0.0,1.7,2.6,1.2,2.0,2.4,2.1,1,2.1,1,1.4,1.2,2.8,1,0.0,1,2.1,2.4,3.0,2.6,1,3,2.9,1,2.2,3.5,2.1,1.4,2.1,4.5,1,1.7,1
Student 0075,0,0.9,0,0.0,0.8,0.2,1.4,0.3,0,0,0,0.6,0,1.1,0,1.7,0.9,0.5,0.5,0.7,1.1,0.5,0.5,0,1.2,0,1.9,0.4,0.6,0,0.8,0,0.5,0.3,1.4,1.2,0,0.9,0.5,0,0.1,1.2,0.7,0.8,0.6,1.0,0,0.3,0
Student 0076,0,2.7,1,1.6,2.4,3.8,4.5,1.3,1,1,1,1.4,1,5,1,3.7,1.9,1.9,2.3,1.9,2.5,2.3,2.7,1,2.6,1,2.0,1.9,1.6,1,1.2,1,2.4,2.7,4.9,2.5,1,1.9,3.4,1,2.1,4.7,2.4,1.8,2.0,3.2,1,1.6,1
Student 0077,1,2.5,0,0.9,1.8,3.4,3.1,1.0,0,0,0,1.4,1,2.1,1,4.0,1.5,0.8,1.3,1.2,2.4,1.9,1.2,0,2.0,1,1.0,0.8,3.3,1,2,0,2.3,2.1,3.5,2.0,1,1.8,3.5,1,1.5,2.1,1.2,1.4,1.7,3.1,1,1.4,0
Student 0078,1,2.5,1,1.7,2.2,4.0,4.9,2.0,1,1,1,1.5,1,3.9,1,5,0.1,1.7,3,2,2.2,2.9,2.3,1,2.6,1,2,1.7,3.9,1,1.5,1,3,2.7,4.8,2.5,1,2.0,4.6,1,2.8,5,2.2,1.9,2.6,4.4,1,1.8,1
Student 0079,1,3,1,1.7,3,5,4.5,2,1,1,1,2,1,3.8,1,4.4,2.8,1.8,3,2,2.4,3,3,1,3,1,2,1.9,5,1,1.9,1,2.3,2.4,4.0,2.4,1,3,5,1,2.7,5,3,2,3,4.9,1,2,1
Student 0080,1,1.7,1,0.3,2.2,4.3,2.7,0.0,1,1,1,0.0,1,3.1,1,3.7,2.0,1.5,1.6,1.1,1.9,1.6,1.5,1,2.4,1,1.3,1.2,3.7,1,1.0,1,2.1,2.5,3.6,1.8,1,2.4,3.4,1,2.0,2.8,2.4,1.6,2.3,3.0,1,1.4,1
